[2025-08-01 05:30:49] [gimbal_controller] [INFO] [1753997449.050098541] [gimbal_controller]: 云台控制器节点已启动
[2025-08-01 05:30:49] [gimbal_controller] [INFO] [1753997449.050614200] [gimbal_controller]: 图像中心设置为: (320, 240)
[2025-08-01 05:30:49] [gimbal_controller] [INFO] [1753997449.051105360] [gimbal_controller]: 订阅话题: /target_data
[2025-08-01 05:30:49] [gimbal_controller] [INFO] [1753997449.051866307] [gimbal_controller]: 发布话题: /uart1_sender_topic
[2025-08-01 05:30:59] [gimbal_controller] [INFO] [1753997459.913509647] [gimbal_controller]: 目标: (143, 326) | 中心: (320, 240) | 误差: (-177, +86) | 指令: @0,-177,86
[2025-08-01 05:31:10] [gimbal_controller] [INFO] [1753997470.187171539] [gimbal_controller]: 目标: (245, 448) | 中心: (320, 240) | 误差: (-75, +208) | 指令: @0,-75,208
[2025-08-01 05:31:10] [gimbal_controller] [INFO] [1753997470.891088492] [gimbal_controller]: 目标: (266, 299) | 中心: (320, 240) | 误差: (-54, +59) | 指令: @0,-54,59
[2025-08-01 05:31:10] [gimbal_controller] [WARN] [1753997470.942604235] [gimbal_controller]: 目标数据格式不正确: c,267,304,91
[2025-08-01 05:31:10] [gimbal_controller] [WARN] [1753997470.944375792] [gimbal_controller]: 无法解析目标数据: c,267,304,91
[2025-08-01 05:31:10] [gimbal_controller] [WARN] [1753997470.992033426] [gimbal_controller]: 目标数据格式不正确: c,269,309,90
[2025-08-01 05:31:10] [gimbal_controller] [WARN] [1753997470.992512919] [gimbal_controller]: 无法解析目标数据: c,269,309,90
[2025-08-01 05:31:11] [gimbal_controller] [WARN] [1753997471.027733193] [gimbal_controller]: 目标数据格式不正确: c,273,312,91
[2025-08-01 05:31:11] [gimbal_controller] [WARN] [1753997471.028260227] [gimbal_controller]: 无法解析目标数据: c,273,312,91
[2025-08-01 05:31:11] [gimbal_controller] [WARN] [1753997471.088606049] [gimbal_controller]: 目标数据格式不正确: c,275,313,105
[2025-08-01 05:31:11] [gimbal_controller] [WARN] [1753997471.091175303] [gimbal_controller]: 无法解析目标数据: c,275,313,105
[2025-08-01 05:31:11] [gimbal_controller] [WARN] [1753997471.125330718] [gimbal_controller]: 目标数据格式不正确: c,277,313,105
[2025-08-01 05:31:11] [gimbal_controller] [WARN] [1753997471.127845431] [gimbal_controller]: 无法解析目标数据: c,277,313,105
[2025-08-01 05:31:11] [gimbal_controller] [WARN] [1753997471.158040071] [gimbal_controller]: 目标数据格式不正确: c,283,313,105
[2025-08-01 05:31:11] [gimbal_controller] [WARN] [1753997471.160129249] [gimbal_controller]: 无法解析目标数据: c,283,313,105
[2025-08-01 05:31:11] [gimbal_controller] [WARN] [1753997471.192078529] [gimbal_controller]: 目标数据格式不正确: c,284,312,104
[2025-08-01 05:31:11] [gimbal_controller] [WARN] [1753997471.192768602] [gimbal_controller]: 无法解析目标数据: c,284,312,104
[2025-08-01 05:31:11] [gimbal_controller] [WARN] [1753997471.224647301] [gimbal_controller]: 目标数据格式不正确: c,286,309,92
[2025-08-01 05:31:11] [gimbal_controller] [WARN] [1753997471.226037072] [gimbal_controller]: 无法解析目标数据: c,286,309,92
[2025-08-01 05:31:11] [gimbal_controller] [WARN] [1753997471.256630414] [gimbal_controller]: 目标数据格式不正确: c,286,306,92
[2025-08-01 05:31:11] [gimbal_controller] [WARN] [1753997471.258635885] [gimbal_controller]: 无法解析目标数据: c,286,306,92
[2025-08-01 05:31:11] [gimbal_controller] [INFO] [1753997471.286806096] [gimbal_controller]: 目标: (284, 300) | 中心: (320, 240) | 误差: (-36, +60) | 指令: @0,-36,60
[2025-08-01 05:31:11] [gimbal_controller] [INFO] [1753997471.815783368] [gimbal_controller]: 目标: (235, 232) | 中心: (320, 240) | 误差: (-85, -8) | 指令: @0,-85,-8
[2025-08-01 05:31:11] [gimbal_controller] [INFO] [1753997471.855548618] [gimbal_controller]: 目标: (232, 233) | 中心: (320, 240) | 误差: (-88, -7) | 指令: @0,-88,-7
[2025-08-01 05:31:11] [gimbal_controller] [INFO] [1753997471.893358562] [gimbal_controller]: 目标: (228, 233) | 中心: (320, 240) | 误差: (-92, -7) | 指令: @0,-92,-7
[2025-08-01 05:31:11] [gimbal_controller] [INFO] [1753997471.983917107] [gimbal_controller]: 目标: (221, 238) | 中心: (320, 240) | 误差: (-99, -2) | 指令: @0,-99,-2
[2025-08-01 05:31:12] [gimbal_controller] [INFO] [1753997472.033709417] [gimbal_controller]: 目标: (220, 243) | 中心: (320, 240) | 误差: (-100, +3) | 指令: @0,-100,3
[2025-08-01 05:31:12] [gimbal_controller] [INFO] [1753997472.661828567] [gimbal_controller]: 目标: (146, 333) | 中心: (320, 240) | 误差: (-174, +93) | 指令: @0,-174,93
[2025-08-01 05:31:12] [gimbal_controller] [INFO] [1753997472.694486004] [gimbal_controller]: 目标: (141, 331) | 中心: (320, 240) | 误差: (-179, +91) | 指令: @0,-179,91
[2025-08-01 05:31:12] [gimbal_controller] [INFO] [1753997472.729005413] [gimbal_controller]: 目标: (138, 328) | 中心: (320, 240) | 误差: (-182, +88) | 指令: @0,-182,88
[2025-08-01 05:31:12] [gimbal_controller] [INFO] [1753997472.761661684] [gimbal_controller]: 目标: (137, 326) | 中心: (320, 240) | 误差: (-183, +86) | 指令: @0,-183,86
[2025-08-01 05:31:12] [gimbal_controller] [INFO] [1753997472.801921592] [gimbal_controller]: 目标: (138, 324) | 中心: (320, 240) | 误差: (-182, +84) | 指令: @0,-182,84
[2025-08-01 05:31:12] [gimbal_controller] [INFO] [1753997472.843265902] [gimbal_controller]: 目标: (137, 320) | 中心: (320, 240) | 误差: (-183, +80) | 指令: @0,-183,80
[2025-08-01 05:31:12] [gimbal_controller] [INFO] [1753997472.885464490] [gimbal_controller]: 目标: (139, 318) | 中心: (320, 240) | 误差: (-181, +78) | 指令: @0,-181,78
[2025-08-01 05:31:13] [gimbal_controller] [INFO] [1753997473.592681603] [gimbal_controller]: 目标: (301, 323) | 中心: (320, 240) | 误差: (-19, +83) | 指令: @0,-19,83
[2025-08-01 05:31:13] [gimbal_controller] [INFO] [1753997473.625087335] [gimbal_controller]: 目标: (307, 324) | 中心: (320, 240) | 误差: (-13, +84) | 指令: @0,-13,84
[2025-08-01 05:31:13] [gimbal_controller] [INFO] [1753997473.656256711] [gimbal_controller]: 目标: (313, 325) | 中心: (320, 240) | 误差: (-7, +85) | 指令: @0,-7,85
[2025-08-01 05:31:13] [gimbal_controller] [INFO] [1753997473.694116529] [gimbal_controller]: 目标: (319, 326) | 中心: (320, 240) | 误差: (-1, +86) | 指令: @0,-1,86
[2025-08-01 05:31:13] [gimbal_controller] [INFO] [1753997473.733825196] [gimbal_controller]: 目标: (325, 326) | 中心: (320, 240) | 误差: (+5, +86) | 指令: @0,5,86
[2025-08-01 05:31:13] [gimbal_controller] [INFO] [1753997473.765915058] [gimbal_controller]: 目标: (331, 327) | 中心: (320, 240) | 误差: (+11, +87) | 指令: @0,11,87
[2025-08-01 05:31:13] [gimbal_controller] [INFO] [1753997473.796980310] [gimbal_controller]: 目标: (337, 327) | 中心: (320, 240) | 误差: (+17, +87) | 指令: @0,17,87
[2025-08-01 05:31:13] [gimbal_controller] [INFO] [1753997473.854926042] [gimbal_controller]: 目标: (343, 329) | 中心: (320, 240) | 误差: (+23, +89) | 指令: @0,23,89
[2025-08-01 05:31:13] [gimbal_controller] [INFO] [1753997473.910450394] [gimbal_controller]: 目标: (355, 329) | 中心: (320, 240) | 误差: (+35, +89) | 指令: @0,35,89
[2025-08-01 05:31:13] [gimbal_controller] [INFO] [1753997473.952326404] [gimbal_controller]: 目标: (361, 329) | 中心: (320, 240) | 误差: (+41, +89) | 指令: @0,41,89
[2025-08-01 05:31:13] [gimbal_controller] [INFO] [1753997473.988093545] [gimbal_controller]: 目标: (372, 331) | 中心: (320, 240) | 误差: (+52, +91) | 指令: @0,52,91
[2025-08-01 05:31:14] [gimbal_controller] [INFO] [1753997474.032474351] [gimbal_controller]: 目标: (377, 330) | 中心: (320, 240) | 误差: (+57, +90) | 指令: @0,57,90
[2025-08-01 05:31:14] [gimbal_controller] [INFO] [1753997474.087665624] [gimbal_controller]: 目标: (382, 331) | 中心: (320, 240) | 误差: (+62, +91) | 指令: @0,62,91
[2025-08-01 05:31:14] [gimbal_controller] [INFO] [1753997474.129472218] [gimbal_controller]: 目标: (390, 323) | 中心: (320, 240) | 误差: (+70, +83) | 指令: @0,70,83
[2025-08-01 05:31:14] [gimbal_controller] [INFO] [1753997474.176872314] [gimbal_controller]: 目标: (393, 323) | 中心: (320, 240) | 误差: (+73, +83) | 指令: @0,73,83
[2025-08-01 05:31:14] [gimbal_controller] [WARN] [1753997474.213917228] [gimbal_controller]: 目标数据格式不正确: c,399,326,113
[2025-08-01 05:31:14] [gimbal_controller] [WARN] [1753997474.214588635] [gimbal_controller]: 无法解析目标数据: c,399,326,113
[2025-08-01 05:31:14] [gimbal_controller] [INFO] [1753997474.253546271] [gimbal_controller]: 目标: (399, 323) | 中心: (320, 240) | 误差: (+79, +83) | 指令: @0,79,83
[2025-08-01 05:31:14] [gimbal_controller] [INFO] [1753997474.310694307] [gimbal_controller]: 目标: (398, 323) | 中心: (320, 240) | 误差: (+78, +83) | 指令: @0,78,83
[2025-08-01 05:31:14] [gimbal_controller] [INFO] [1753997474.344356812] [gimbal_controller]: 目标: (396, 324) | 中心: (320, 240) | 误差: (+76, +84) | 指令: @0,76,84
[2025-08-01 05:31:14] [gimbal_controller] [INFO] [1753997474.378654850] [gimbal_controller]: 目标: (389, 332) | 中心: (320, 240) | 误差: (+69, +92) | 指令: @0,69,92
[2025-08-01 05:31:14] [gimbal_controller] [INFO] [1753997474.422776952] [gimbal_controller]: 目标: (384, 333) | 中心: (320, 240) | 误差: (+64, +93) | 指令: @0,64,93
[2025-08-01 05:31:14] [gimbal_controller] [INFO] [1753997474.469615306] [gimbal_controller]: 目标: (378, 333) | 中心: (320, 240) | 误差: (+58, +93) | 指令: @0,58,93
[2025-08-01 05:31:14] [gimbal_controller] [INFO] [1753997474.521726332] [gimbal_controller]: 目标: (363, 335) | 中心: (320, 240) | 误差: (+43, +95) | 指令: @0,43,95
[2025-08-01 05:31:14] [gimbal_controller] [INFO] [1753997474.554998302] [gimbal_controller]: 目标: (354, 336) | 中心: (320, 240) | 误差: (+34, +96) | 指令: @0,34,96
[2025-08-01 05:31:14] [gimbal_controller] [INFO] [1753997474.623075510] [gimbal_controller]: 目标: (337, 337) | 中心: (320, 240) | 误差: (+17, +97) | 指令: @0,17,97
[2025-08-01 05:31:14] [gimbal_controller] [INFO] [1753997474.665391638] [gimbal_controller]: 目标: (328, 338) | 中心: (320, 240) | 误差: (+8, +98) | 指令: @0,8,98
[2025-08-01 05:31:14] [gimbal_controller] [INFO] [1753997474.710620016] [gimbal_controller]: 目标: (319, 338) | 中心: (320, 240) | 误差: (-1, +98) | 指令: @0,-1,98
[2025-08-01 05:31:14] [gimbal_controller] [INFO] [1753997474.750270350] [gimbal_controller]: 目标: (302, 340) | 中心: (320, 240) | 误差: (-18, +100) | 指令: @0,-18,100
[2025-08-01 05:31:14] [gimbal_controller] [INFO] [1753997474.792191276] [gimbal_controller]: 目标: (294, 341) | 中心: (320, 240) | 误差: (-26, +101) | 指令: @0,-26,101
[2025-08-01 05:31:14] [gimbal_controller] [INFO] [1753997474.941693913] [gimbal_controller]: 目标: (267, 345) | 中心: (320, 240) | 误差: (-53, +105) | 指令: @0,-53,105
[2025-08-01 05:31:14] [gimbal_controller] [INFO] [1753997474.984754656] [gimbal_controller]: 目标: (266, 347) | 中心: (320, 240) | 误差: (-54, +107) | 指令: @0,-54,107
[2025-08-01 05:31:15] [gimbal_controller] [WARN] [1753997475.036372189] [gimbal_controller]: 目标数据格式不正确: c,266,349,115
[2025-08-01 05:31:15] [gimbal_controller] [WARN] [1753997475.038370368] [gimbal_controller]: 无法解析目标数据: c,266,349,115
[2025-08-01 05:31:15] [gimbal_controller] [WARN] [1753997475.096994216] [gimbal_controller]: 目标数据格式不正确: c,269,350,115
[2025-08-01 05:31:15] [gimbal_controller] [WARN] [1753997475.099044019] [gimbal_controller]: 无法解析目标数据: c,269,350,115
[2025-08-01 05:31:15] [gimbal_controller] [INFO] [1753997475.233390421] [gimbal_controller]: 目标: (300, 353) | 中心: (320, 240) | 误差: (-20, +113) | 指令: @0,-20,113
[2025-08-01 05:31:15] [gimbal_controller] [INFO] [1753997475.275467386] [gimbal_controller]: 目标: (310, 352) | 中心: (320, 240) | 误差: (-10, +112) | 指令: @0,-10,112
[2025-08-01 05:31:15] [gimbal_controller] [INFO] [1753997475.317031900] [gimbal_controller]: 目标: (320, 353) | 中心: (320, 240) | 误差: (+0, +113) | 指令: @0,0,113
[2025-08-01 05:31:15] [gimbal_controller] [INFO] [1753997475.352966164] [gimbal_controller]: 目标: (330, 352) | 中心: (320, 240) | 误差: (+10, +112) | 指令: @0,10,112
[2025-08-01 05:31:15] [gimbal_controller] [INFO] [1753997475.411783967] [gimbal_controller]: 目标: (341, 352) | 中心: (320, 240) | 误差: (+21, +112) | 指令: @0,21,112
[2025-08-01 05:31:15] [gimbal_controller] [INFO] [1753997475.466681827] [gimbal_controller]: 目标: (364, 352) | 中心: (320, 240) | 误差: (+44, +112) | 指令: @0,44,112
[2025-08-01 05:31:15] [gimbal_controller] [INFO] [1753997475.512985272] [gimbal_controller]: 目标: (385, 352) | 中心: (320, 240) | 误差: (+65, +112) | 指令: @0,65,112
[2025-08-01 05:31:15] [gimbal_controller] [INFO] [1753997475.564659388] [gimbal_controller]: 目标: (395, 353) | 中心: (320, 240) | 误差: (+75, +113) | 指令: @0,75,113
[2025-08-01 05:31:15] [gimbal_controller] [INFO] [1753997475.614865276] [gimbal_controller]: 目标: (404, 353) | 中心: (320, 240) | 误差: (+84, +113) | 指令: @0,84,113
[2025-08-01 05:31:15] [gimbal_controller] [INFO] [1753997475.669264685] [gimbal_controller]: 目标: (412, 356) | 中心: (320, 240) | 误差: (+92, +116) | 指令: @0,92,116
[2025-08-01 05:31:15] [gimbal_controller] [INFO] [1753997475.703147688] [gimbal_controller]: 目标: (429, 360) | 中心: (320, 240) | 误差: (+109, +120) | 指令: @0,109,120
[2025-08-01 05:31:15] [gimbal_controller] [INFO] [1753997475.741860619] [gimbal_controller]: 目标: (429, 351) | 中心: (320, 240) | 误差: (+109, +111) | 指令: @0,109,111
[2025-08-01 05:31:15] [gimbal_controller] [INFO] [1753997475.784109957] [gimbal_controller]: 目标: (431, 352) | 中心: (320, 240) | 误差: (+111, +112) | 指令: @0,111,112
[2025-08-01 05:31:15] [gimbal_controller] [INFO] [1753997475.829714579] [gimbal_controller]: 目标: (430, 354) | 中心: (320, 240) | 误差: (+110, +114) | 指令: @0,110,114
[2025-08-01 05:31:15] [gimbal_controller] [INFO] [1753997475.865341430] [gimbal_controller]: 目标: (429, 357) | 中心: (320, 240) | 误差: (+109, +117) | 指令: @0,109,117
[2025-08-01 05:31:16] [gimbal_controller] [INFO] [1753997476.144268667] [gimbal_controller]: 目标: (358, 376) | 中心: (320, 240) | 误差: (+38, +136) | 指令: @0,38,136
[2025-08-01 05:31:18] [gimbal_controller] [INFO] [1753997478.142940269] [gimbal_controller]: 目标: (294, 286) | 中心: (320, 240) | 误差: (-26, +46) | 指令: @0,-26,46
[2025-08-01 05:31:18] [gimbal_controller] [INFO] [1753997478.178476413] [gimbal_controller]: 目标: (303, 285) | 中心: (320, 240) | 误差: (-17, +45) | 指令: @0,-17,45
[2025-08-01 05:31:18] [gimbal_controller] [INFO] [1753997478.227972686] [gimbal_controller]: 目标: (312, 285) | 中心: (320, 240) | 误差: (-8, +45) | 指令: @0,-8,45
[2025-08-01 05:31:18] [gimbal_controller] [INFO] [1753997478.270924931] [gimbal_controller]: 目标: (328, 285) | 中心: (320, 240) | 误差: (+8, +45) | 指令: @0,8,45
[2025-08-01 05:31:18] [gimbal_controller] [INFO] [1753997478.309252868] [gimbal_controller]: 目标: (335, 286) | 中心: (320, 240) | 误差: (+15, +46) | 指令: @0,15,46
[2025-08-01 05:31:18] [gimbal_controller] [INFO] [1753997478.359836750] [gimbal_controller]: 目标: (341, 286) | 中心: (320, 240) | 误差: (+21, +46) | 指令: @0,21,46
[2025-08-01 05:31:18] [gimbal_controller] [INFO] [1753997478.399960744] [gimbal_controller]: 目标: (353, 287) | 中心: (320, 240) | 误差: (+33, +47) | 指令: @0,33,47
[2025-08-01 05:31:18] [gimbal_controller] [INFO] [1753997478.450316254] [gimbal_controller]: 目标: (358, 287) | 中心: (320, 240) | 误差: (+38, +47) | 指令: @0,38,47
[2025-08-01 05:31:18] [gimbal_controller] [INFO] [1753997478.495936334] [gimbal_controller]: 目标: (369, 289) | 中心: (320, 240) | 误差: (+49, +49) | 指令: @0,49,49
[2025-08-01 05:31:18] [gimbal_controller] [INFO] [1753997478.538063757] [gimbal_controller]: 目标: (374, 289) | 中心: (320, 240) | 误差: (+54, +49) | 指令: @0,54,49
[2025-08-01 05:31:18] [gimbal_controller] [INFO] [1753997478.582166609] [gimbal_controller]: 目标: (378, 290) | 中心: (320, 240) | 误差: (+58, +50) | 指令: @0,58,50
[2025-08-01 05:31:18] [gimbal_controller] [INFO] [1753997478.646574705] [gimbal_controller]: 目标: (389, 290) | 中心: (320, 240) | 误差: (+69, +50) | 指令: @0,69,50
[2025-08-01 05:31:18] [gimbal_controller] [INFO] [1753997478.702200846] [gimbal_controller]: 目标: (395, 290) | 中心: (320, 240) | 误差: (+75, +50) | 指令: @0,75,50
[2025-08-01 05:31:18] [gimbal_controller] [INFO] [1753997478.742333590] [gimbal_controller]: 目标: (409, 290) | 中心: (320, 240) | 误差: (+89, +50) | 指令: @0,89,50
[2025-08-01 05:31:18] [gimbal_controller] [INFO] [1753997478.779422253] [gimbal_controller]: 目标: (417, 292) | 中心: (320, 240) | 误差: (+97, +52) | 指令: @0,97,52
[2025-08-01 05:31:18] [gimbal_controller] [INFO] [1753997478.815696596] [gimbal_controller]: 目标: (425, 293) | 中心: (320, 240) | 误差: (+105, +53) | 指令: @0,105,53
[2025-08-01 05:31:18] [gimbal_controller] [INFO] [1753997478.856323707] [gimbal_controller]: 目标: (433, 292) | 中心: (320, 240) | 误差: (+113, +52) | 指令: @0,113,52
[2025-08-01 05:31:18] [gimbal_controller] [INFO] [1753997478.897966387] [gimbal_controller]: 目标: (448, 294) | 中心: (320, 240) | 误差: (+128, +54) | 指令: @0,128,54
[2025-08-01 05:31:18] [gimbal_controller] [INFO] [1753997478.931559477] [gimbal_controller]: 目标: (455, 295) | 中心: (320, 240) | 误差: (+135, +55) | 指令: @0,135,55
[2025-08-01 05:31:18] [gimbal_controller] [INFO] [1753997478.973270698] [gimbal_controller]: 目标: (462, 296) | 中心: (320, 240) | 误差: (+142, +56) | 指令: @0,142,56
[2025-08-01 05:31:19] [gimbal_controller] [INFO] [1753997479.018631198] [gimbal_controller]: 目标: (468, 297) | 中心: (320, 240) | 误差: (+148, +57) | 指令: @0,148,57
[2025-08-01 05:31:19] [gimbal_controller] [INFO] [1753997479.053589851] [gimbal_controller]: 目标: (476, 299) | 中心: (320, 240) | 误差: (+156, +59) | 指令: @0,156,59
[2025-08-01 05:31:19] [gimbal_controller] [INFO] [1753997479.097635246] [gimbal_controller]: 目标: (475, 288) | 中心: (320, 240) | 误差: (+155, +48) | 指令: @0,155,48
[2025-08-01 05:31:19] [gimbal_controller] [INFO] [1753997479.151198459] [gimbal_controller]: 目标: (477, 289) | 中心: (320, 240) | 误差: (+157, +49) | 指令: @0,157,49
[2025-08-01 05:31:19] [gimbal_controller] [INFO] [1753997479.197100577] [gimbal_controller]: 目标: (478, 306) | 中心: (320, 240) | 误差: (+158, +66) | 指令: @0,158,66
[2025-08-01 05:31:19] [gimbal_controller] [INFO] [1753997479.244432423] [gimbal_controller]: 目标: (473, 307) | 中心: (320, 240) | 误差: (+153, +67) | 指令: @0,153,67
[2025-08-01 05:31:19] [gimbal_controller] [INFO] [1753997479.305413778] [gimbal_controller]: 目标: (456, 309) | 中心: (320, 240) | 误差: (+136, +69) | 指令: @0,136,69
[2025-08-01 05:31:19] [gimbal_controller] [INFO] [1753997479.363213970] [gimbal_controller]: 目标: (444, 311) | 中心: (320, 240) | 误差: (+124, +71) | 指令: @0,124,71
[2025-08-01 05:31:19] [gimbal_controller] [INFO] [1753997479.409136796] [gimbal_controller]: 目标: (409, 315) | 中心: (320, 240) | 误差: (+89, +75) | 指令: @0,89,75
[2025-08-01 05:31:19] [gimbal_controller] [INFO] [1753997479.500060210] [gimbal_controller]: 目标: (357, 332) | 中心: (320, 240) | 误差: (+37, +92) | 指令: @0,37,92
[2025-08-01 05:31:19] [gimbal_controller] [INFO] [1753997479.548016798] [gimbal_controller]: 目标: (337, 339) | 中心: (320, 240) | 误差: (+17, +99) | 指令: @0,17,99
[2025-08-01 05:31:19] [gimbal_controller] [INFO] [1753997479.592799223] [gimbal_controller]: 目标: (301, 355) | 中心: (320, 240) | 误差: (-19, +115) | 指令: @0,-19,115
[2025-08-01 05:31:19] [gimbal_controller] [INFO] [1753997479.649217228] [gimbal_controller]: 目标: (282, 362) | 中心: (320, 240) | 误差: (-38, +122) | 指令: @0,-38,122
